critic,contrast,log_odds,SE,OR,OR_CI_low,OR_CI_high,p_value,n_obs,n_clusters,model
gemma-4,"C(arm, Treatment(reference='verdict_only_neutral'))[T.verdict_only_instructed]",-0.04849257879631939,0.029578916993227348,0.9526644091962212,0.8990054422979621,1.00952612058647,0.10112363309475565,1327,332,GEE_cluster_robust_binomial
gemma-4,"C(arm, Treatment(reference='verdict_only_neutral'))[T.verdict_schema_matched]",-0.02428785627205226,0.017094061072840623,0.9760047202372787,0.943846624272756,1.0092584848300177,0.15536446074252347,1327,332,GEE_cluster_robust_binomial
gemma-4,"C(arm, Treatment(reference='verdict_only_neutral'))[T.verdict_plus_repair]",0.18092671747246006,0.051700351985059206,1.198327359617682,1.0828493885392039,1.3261202121058373,0.0004660864355770207,1327,332,GEE_cluster_robust_binomial
gpt-oss-no-think,"C(arm, Treatment(reference='verdict_only_neutral'))[T.verdict_only_instructed]",-0.13516039682996353,0.09733125689478128,0.8735757816640172,0.7218584911661221,1.057180397056904,0.164934995115682,1388,347,GEE_cluster_robust_binomial
gpt-oss-no-think,"C(arm, Treatment(reference='verdict_only_neutral'))[T.verdict_schema_matched]",0.012526561285103675,0.09942487379070253,1.0126053472827667,0.8333157887528908,1.2304694128982991,0.8997396696750252,1388,347,GEE_cluster_robust_binomial
gpt-oss-no-think,"C(arm, Treatment(reference='verdict_only_neutral'))[T.verdict_plus_repair]",0.20655914687235277,0.10763277676899156,1.229440449623936,0.9956124344623527,1.5181849551605429,0.05497040401207888,1388,347,GEE_cluster_robust_binomial
qwen3-no-think,"C(arm, Treatment(reference='verdict_only_neutral'))[T.verdict_only_instructed]",-0.4839552579275176,0.06874345819145329,0.6163407776591349,0.5386496280549964,0.7052375689502596,1.9221349717669977e-12,1456,357,GEE_cluster_robust_binomial
qwen3-no-think,"C(arm, Treatment(reference='verdict_only_neutral'))[T.verdict_schema_matched]",-0.23849940737829037,0.05776782120591634,0.7878091551298111,0.7034754806526929,0.8822528744434797,3.6500120957126e-05,1456,357,GEE_cluster_robust_binomial
qwen3-no-think,"C(arm, Treatment(reference='verdict_only_neutral'))[T.verdict_plus_repair]",0.02307700597488866,0.06316715373302238,1.0233453402186885,0.9041786283769266,1.1582176933635069,0.7148633181122009,1456,357,GEE_cluster_robust_binomial
