critic,excluded_dataset,delta_pp,CI_low_pp,CI_high_pp,n_paired
gemma-4,(none),4.518072289156627,2.108433734939759,7.228915662650602,332
gemma-4,aime,2.666666666666667,0.6666666666666667,5.0,300
gemma-4,gpqa,6.4655172413793105,3.4482758620689653,9.913793103448276,232
gemma-4,mmlu_pro,6.4655172413793105,3.4482758620689653,9.913793103448276,232
gemma-4,olympiad,3.0172413793103448,0.43103448275862066,6.0344827586206895,232
gpt-oss-no-think,(none),4.610951008645533,0.0,9.221902017291066,347
gpt-oss-no-think,aime,1.6666666666666667,-3.0,6.333333333333334,300
gpt-oss-no-think,gpqa,5.668016194331984,0.0,10.931174089068826,247
gpt-oss-no-think,mmlu_pro,5.668016194331984,-0.4048582995951417,11.740890688259109,247
gpt-oss-no-think,olympiad,6.0728744939271255,0.4048582995951417,11.740890688259109,247
qwen3-no-think,(none),0.5617977528089888,-2.528089887640449,3.651685393258427,356
qwen3-no-think,aime,-0.34843205574912894,-3.8327526132404177,2.7874564459930316,287
qwen3-no-think,gpqa,-1.1194029850746268,-4.477611940298507,2.2388059701492535,268
qwen3-no-think,mmlu_pro,2.3346303501945527,-1.1673151750972763,5.836575875486381,257
qwen3-no-think,olympiad,1.5625,-1.953125,5.46875,256
