critic,arm,dataset,n,ECE_10bin,mean_conf,mean_correct
gemma-4,legacy_full,aime,540,0.14092592592592584,0.9298148148148149,0.7888888888888889
gemma-4,legacy_full,gpqa,1188,0.18707912457912457,0.9635942760942761,0.7853535353535354
gemma-4,legacy_full,mmlu_pro,3000,0.22418333333333326,0.9660500000000001,0.7423333333333333
gemma-4,legacy_full,olympiad,4044,0.3204747774480711,0.917457962413452,0.5989119683481702
gemma-4,verdict_only_neutral,aime,246,0.13780487804878055,0.9792682926829267,0.8577235772357723
gemma-4,verdict_only_neutral,gpqa,450,0.24177777777777776,0.9951111111111112,0.7577777777777778
gemma-4,verdict_only_neutral,mmlu_pro,450,0.4461111111111111,0.9843333333333332,0.5533333333333333
gemma-4,verdict_only_neutral,olympiad,450,0.35888888888888887,0.9944444444444445,0.6377777777777778
gemma-4,verdict_plus_repair,aime,246,0.11747967479674798,0.9386178861788617,0.8211382113821138
gemma-4,verdict_plus_repair,gpqa,450,0.23222222222222216,0.9624444444444445,0.7533333333333333
gemma-4,verdict_plus_repair,mmlu_pro,450,0.3959999999999999,0.9526666666666668,0.5622222222222222
gemma-4,verdict_plus_repair,olympiad,450,0.3524444444444444,0.9182222222222222,0.5711111111111111
gpt-oss-no-think,legacy_full,aime,2880,0.22757638888888904,0.8452152777777778,0.6420138888888889
gpt-oss-no-think,legacy_full,gpqa,6336,0.3770580808080808,0.9221433080808082,0.5631313131313131
gpt-oss-no-think,legacy_full,mmlu_pro,16000,0.36846187499999994,0.9628618750000001,0.5958125
gpt-oss-no-think,legacy_full,olympiad,21568,0.4294362017804155,0.8980424703264096,0.4719028189910979
gpt-oss-no-think,verdict_only_neutral,aime,270,0.1608518518518519,0.9189999999999999,0.7592592592592593
gpt-oss-no-think,verdict_only_neutral,gpqa,450,0.3644222222222222,0.9533111111111111,0.5888888888888889
gpt-oss-no-think,verdict_only_neutral,mmlu_pro,450,0.530488888888889,0.966488888888889,0.44
gpt-oss-no-think,verdict_only_neutral,olympiad,450,0.43420000000000003,0.9097555555555555,0.47555555555555556
gpt-oss-no-think,verdict_plus_repair,aime,270,0.2125925925925926,0.8796296296296297,0.674074074074074
gpt-oss-no-think,verdict_plus_repair,gpqa,450,0.36619999999999997,0.9355333333333333,0.5866666666666667
gpt-oss-no-think,verdict_plus_repair,mmlu_pro,450,0.5124444444444443,0.9531111111111112,0.4577777777777778
gpt-oss-no-think,verdict_plus_repair,olympiad,450,0.4497999999999999,0.8914888888888889,0.4488888888888889
gpt-oss-think,legacy_full,aime,2340,0.06882478632478642,0.8483119658119659,0.7794871794871795
gpt-oss-think,legacy_full,gpqa,4950,0.32576565656565654,0.8896848484848486,0.5670707070707071
gpt-oss-think,legacy_full,mmlu_pro,12500,0.30492472000000004,0.9649567200000002,0.66024
gpt-oss-think,legacy_full,olympiad,16850,0.391139703264095,0.8945877744807121,0.5045697329376855
qwen3,legacy_full,aime,2256,0.13027482269503543,0.9385195035460994,0.8328900709219859
qwen3,legacy_full,gpqa,4940,0.2638097165991901,0.9372510121457489,0.6748987854251012
qwen3,legacy_full,mmlu_pro,12495,0.1652861144457782,0.9616686674669868,0.797999199679872
qwen3,legacy_full,olympiad,16760,0.3712434367541766,0.9677768496420047,0.6045942720763723
qwen3-no-think,legacy_full,aime,5085,0.22573254670599807,0.7912782694198623,0.6949852507374631
qwen3-no-think,legacy_full,gpqa,11266,0.28550417184448795,0.9169794070655068,0.6541807207527073
qwen3-no-think,legacy_full,mmlu_pro,28478,0.19599690989535778,0.9544209565278461,0.762448205632418
qwen3-no-think,legacy_full,olympiad,38210,0.34630306202564765,0.9024768385239466,0.6008113059408532
qwen3-no-think,verdict_only_neutral,aime,516,0.3906201550387597,0.6382945736434108,0.7461240310077519
qwen3-no-think,verdict_only_neutral,gpqa,864,0.4619212962962963,0.7653935185185184,0.6446759259259259
qwen3-no-think,verdict_only_neutral,mmlu_pro,897,0.48625418060200654,0.8991861761426978,0.5250836120401338
qwen3-no-think,verdict_only_neutral,olympiad,900,0.5016666666666666,0.8074444444444445,0.5966666666666667
qwen3-no-think,verdict_plus_repair,aime,516,0.3656589147286821,0.6629457364341085,0.7015503875968992
qwen3-no-think,verdict_plus_repair,gpqa,864,0.4108333333333334,0.8542361111111111,0.6319444444444444
qwen3-no-think,verdict_plus_repair,mmlu_pro,897,0.44273132664437,0.9242251950947603,0.5351170568561873
qwen3-no-think,verdict_plus_repair,olympiad,900,0.45744444444444454,0.8372222222222222,0.59
