critic,arm,dataset,n_rejected_wrong,repair_success_rate,n_rejected_correct,harmful_correction_rate
gemma-4,legacy_full,aime,144,0.10416666666666667,66,0.2727272727272727
gemma-4,legacy_full,gpqa,432,0.05787037037037037,27,0.8148148148148148
gemma-4,legacy_full,mmlu_pro,523,0.627151051625239,96,0.6354166666666666
gemma-4,legacy_full,olympiad,866,0.06697459584295612,191,0.9214659685863874
gemma-4,verdict_plus_repair,aime,80,0.075,28,0.2857142857142857
gemma-4,verdict_plus_repair,gpqa,190,0.06315789473684211,1,1.0
gemma-4,verdict_plus_repair,mmlu_pro,109,0.5504587155963303,6,1.0
gemma-4,verdict_plus_repair,olympiad,115,0.043478260869565216,8,1.0
gemma-4,verdict_plus_repair_reversed,aime,34,0.029411764705882353,1,1.0
gemma-4,verdict_plus_repair_reversed,gpqa,139,0.06474820143884892,0,
gemma-4,verdict_plus_repair_reversed,mmlu_pro,88,0.5681818181818182,4,1.0
gemma-4,verdict_plus_repair_reversed,olympiad,59,0.15254237288135594,1,1.0
gpt-oss-no-think,legacy_full,aime,301,0.2292358803986711,24,0.875
gpt-oss-no-think,legacy_full,gpqa,1430,0.0034965034965034965,366,1.0
gpt-oss-no-think,legacy_full,mmlu_pro,1546,0.23868046571798188,619,0.7399030694668821
gpt-oss-no-think,legacy_full,olympiad,1332,0.256006006006006,112,0.48214285714285715
gpt-oss-no-think,verdict_plus_repair,aime,29,0.3448275862068966,3,1.0
gpt-oss-no-think,verdict_plus_repair,gpqa,88,0.0,23,1.0
gpt-oss-no-think,verdict_plus_repair,mmlu_pro,60,0.3,15,1.0
gpt-oss-no-think,verdict_plus_repair,olympiad,33,0.21212121212121213,1,0.0
gpt-oss-no-think,verdict_plus_repair_reversed,aime,35,0.37142857142857144,2,1.0
gpt-oss-no-think,verdict_plus_repair_reversed,gpqa,49,0.02040816326530612,12,1.0
gpt-oss-no-think,verdict_plus_repair_reversed,mmlu_pro,51,0.43137254901960786,7,0.8571428571428571
gpt-oss-no-think,verdict_plus_repair_reversed,olympiad,46,0.1956521739130435,4,0.5
gpt-oss-think,legacy_full,aime,299,0.8461538461538461,29,0.10344827586206896
gpt-oss-think,legacy_full,gpqa,919,0.0,243,1.0
gpt-oss-think,legacy_full,mmlu_pro,948,0.15822784810126583,522,0.5804597701149425
gpt-oss-think,legacy_full,olympiad,1281,0.5604996096799375,132,0.25757575757575757
qwen3,legacy_full,aime,355,0.11830985915492957,175,0.5714285714285714
qwen3,legacy_full,gpqa,592,0.0,593,1.0
qwen3,legacy_full,mmlu_pro,609,0.2676518883415435,670,0.6059701492537314
qwen3,legacy_full,olympiad,2678,0.37079910380881254,312,0.5096153846153846
qwen3-no-think,legacy_full,aime,1535,0.014332247557003257,657,0.5616438356164384
qwen3-no-think,legacy_full,gpqa,1923,0.0,1479,0.9993238674780257
qwen3-no-think,legacy_full,mmlu_pro,2234,0.211727842435094,2030,0.7004926108374384
qwen3-no-think,legacy_full,olympiad,8946,0.19014084507042253,2191,0.5157462345960748
qwen3-no-think,verdict_plus_repair,aime,134,0.022388059701492536,56,0.4107142857142857
qwen3-no-think,verdict_plus_repair,gpqa,238,0.0,49,1.0
qwen3-no-think,verdict_plus_repair,mmlu_pro,187,0.23529411764705882,25,0.72
qwen3-no-think,verdict_plus_repair,olympiad,192,0.15104166666666666,40,0.4
