critic,arm,dataset,n_calls,parse_fail_proxy,parse_fail_rate
gemma-4,legacy_full,aime,540,0,0.0
gemma-4,legacy_full,gpqa,1188,0,0.0
gemma-4,legacy_full,mmlu_pro,3000,0,0.0
gemma-4,legacy_full,olympiad,4044,3,0.000741839762611276
gemma-4,verdict_only_instructed,aime,246,0,0.0
gemma-4,verdict_only_instructed,gpqa,450,0,0.0
gemma-4,verdict_only_instructed,mmlu_pro,450,0,0.0
gemma-4,verdict_only_instructed,olympiad,450,0,0.0
gemma-4,verdict_only_neutral,aime,246,0,0.0
gemma-4,verdict_only_neutral,gpqa,450,0,0.0
gemma-4,verdict_only_neutral,mmlu_pro,450,0,0.0
gemma-4,verdict_only_neutral,olympiad,450,0,0.0
gemma-4,verdict_plus_repair,aime,246,0,0.0
gemma-4,verdict_plus_repair,gpqa,450,0,0.0
gemma-4,verdict_plus_repair,mmlu_pro,450,0,0.0
gemma-4,verdict_plus_repair,olympiad,450,0,0.0
gemma-4,verdict_schema_matched,aime,246,0,0.0
gemma-4,verdict_schema_matched,gpqa,450,0,0.0
gemma-4,verdict_schema_matched,mmlu_pro,449,0,0.0
gemma-4,verdict_schema_matched,olympiad,450,0,0.0
gpt-oss-no-think,legacy_full,aime,2880,254,0.08819444444444445
gpt-oss-no-think,legacy_full,gpqa,6336,690,0.10890151515151515
gpt-oss-no-think,legacy_full,mmlu_pro,16000,266,0.016625
gpt-oss-no-think,legacy_full,olympiad,21568,611,0.028329005934718102
gpt-oss-no-think,verdict_only_instructed,aime,270,0,0.0
gpt-oss-no-think,verdict_only_instructed,gpqa,450,0,0.0
gpt-oss-no-think,verdict_only_instructed,mmlu_pro,450,0,0.0
gpt-oss-no-think,verdict_only_instructed,olympiad,450,0,0.0
gpt-oss-no-think,verdict_only_neutral,aime,270,0,0.0
gpt-oss-no-think,verdict_only_neutral,gpqa,450,0,0.0
gpt-oss-no-think,verdict_only_neutral,mmlu_pro,450,0,0.0
gpt-oss-no-think,verdict_only_neutral,olympiad,450,0,0.0
gpt-oss-no-think,verdict_plus_repair,aime,270,29,0.10740740740740741
gpt-oss-no-think,verdict_plus_repair,gpqa,450,67,0.14888888888888888
gpt-oss-no-think,verdict_plus_repair,mmlu_pro,450,13,0.028888888888888888
gpt-oss-no-think,verdict_plus_repair,olympiad,450,24,0.05333333333333334
gpt-oss-no-think,verdict_schema_matched,aime,270,0,0.0
gpt-oss-no-think,verdict_schema_matched,gpqa,450,0,0.0
gpt-oss-no-think,verdict_schema_matched,mmlu_pro,450,0,0.0
gpt-oss-no-think,verdict_schema_matched,olympiad,450,0,0.0
gpt-oss-think,legacy_full,aime,2340,1,0.00042735042735042735
gpt-oss-think,legacy_full,gpqa,4950,1,0.00020202020202020202
gpt-oss-think,legacy_full,mmlu_pro,12500,2,0.00016
gpt-oss-think,legacy_full,olympiad,16850,13,0.000771513353115727
qwen3,legacy_full,aime,2256,2,0.0008865248226950354
qwen3,legacy_full,gpqa,4940,8,0.0016194331983805667
qwen3,legacy_full,mmlu_pro,12495,6,0.0004801920768307323
qwen3,legacy_full,olympiad,16760,4,0.00023866348448687351
qwen3-no-think,legacy_full,aime,5085,510,0.10029498525073746
qwen3-no-think,legacy_full,gpqa,11266,327,0.029025386117521746
qwen3-no-think,legacy_full,mmlu_pro,28478,192,0.006742046492028935
qwen3-no-think,legacy_full,olympiad,38210,1319,0.03451975922533368
qwen3-no-think,verdict_only_instructed,aime,417,0,0.0
qwen3-no-think,verdict_only_instructed,gpqa,414,0,0.0
qwen3-no-think,verdict_only_instructed,mmlu_pro,447,0,0.0
qwen3-no-think,verdict_only_instructed,olympiad,450,0,0.0
qwen3-no-think,verdict_only_neutral,aime,270,0,0.0
qwen3-no-think,verdict_only_neutral,gpqa,414,0,0.0
qwen3-no-think,verdict_only_neutral,mmlu_pro,447,0,0.0
qwen3-no-think,verdict_only_neutral,olympiad,450,0,0.0
qwen3-no-think,verdict_plus_repair,aime,270,38,0.14074074074074075
qwen3-no-think,verdict_plus_repair,gpqa,414,12,0.028985507246376812
qwen3-no-think,verdict_plus_repair,mmlu_pro,447,3,0.006711409395973154
qwen3-no-think,verdict_plus_repair,olympiad,450,19,0.042222222222222223
qwen3-no-think,verdict_schema_matched,aime,270,0,0.0
qwen3-no-think,verdict_schema_matched,gpqa,414,0,0.0
qwen3-no-think,verdict_schema_matched,mmlu_pro,447,0,0.0
qwen3-no-think,verdict_schema_matched,olympiad,450,0,0.0
