critic_model,contrast,delta_pp,CI_low_pp,CI_high_pp,n_paired
gemma-4,weak_model_minus_anon,-3.1724137931034484,-5.103448275862069,-1.2413793103448276,725
gemma-4,strong_model_minus_anon,-0.13793103448275862,-1.7931034482758619,1.5172413793103448,725
gpt-oss-no-think,weak_model_minus_anon,-0.5482214888155481,-2.0802621928859537,0.957095709570957,1818
gpt-oss-no-think,strong_model_minus_anon,0.9509803921568626,-0.8627941176470586,2.776470588235294,850
gpt-oss-think,weak_model_minus_anon,-0.006570302233902795,-1.6853098992553655,1.694042925974595,1522
gpt-oss-think,strong_model_minus_anon,34.84374999999999,20.78125,49.68749999999999,32
qwen3,weak_model_minus_anon,-2.599664991624791,-4.747110552763819,-0.48069514237856004,995
qwen3,strong_model_minus_anon,65.0,50.0,80.0,2
qwen3-no-think,weak_model_minus_anon,-5.843567264369439,-7.11150558218879,-4.630032234552969,1471
qwen3-no-think,strong_model_minus_anon,3.9805321384268755,1.5409121823595513,6.446475064896115,741
