critic,dataset,interface,n_wrong,FAR,n_correct,FRR
gemma-4,aime,legacy_full,32,0.28125,58,0.13793103448275862
gemma-4,aime,verdict_only_instructed,32,0.0,50,0.32
gemma-4,aime,verdict_only_neutral,32,0.0,50,0.2
gemma-4,aime,verdict_plus_repair,32,0.21875,50,0.18
gemma-4,gpqa,legacy_full,110,0.35454545454545455,88,0.045454545454545456
gemma-4,gpqa,verdict_only_instructed,100,0.35,50,0.02
gemma-4,gpqa,verdict_only_neutral,100,0.37,50,0.0
gemma-4,gpqa,verdict_plus_repair,100,0.37,50,0.0
gemma-4,mmlu_pro,legacy_full,200,0.575,300,0.043333333333333335
gemma-4,mmlu_pro,verdict_only_instructed,100,0.63,50,0.04
gemma-4,mmlu_pro,verdict_only_neutral,100,0.65,50,0.04
gemma-4,mmlu_pro,verdict_plus_repair,100,0.65,50,0.04
gemma-4,olympiad,legacy_full,383,0.6318537859007833,291,0.10309278350515463
gemma-4,olympiad,verdict_only_instructed,100,0.53,50,0.08
gemma-4,olympiad,verdict_only_neutral,100,0.53,50,0.06
gemma-4,olympiad,verdict_plus_repair,100,0.61,50,0.04
gpt-oss-no-think,aime,legacy_full,288,0.6631944444444444,252,0.031746031746031744
gpt-oss-no-think,aime,verdict_only_instructed,47,0.40425531914893614,43,0.09302325581395349
gpt-oss-no-think,aime,verdict_only_neutral,47,0.40425531914893614,43,0.023255813953488372
gpt-oss-no-think,aime,verdict_plus_repair,47,0.6382978723404256,43,0.023255813953488372
gpt-oss-no-think,gpqa,legacy_full,804,0.5360696517412935,384,0.23958333333333334
gpt-oss-no-think,gpqa,verdict_only_instructed,100,0.46,50,0.22
gpt-oss-no-think,gpqa,verdict_only_neutral,100,0.48,50,0.2
gpt-oss-no-think,gpqa,verdict_plus_repair,100,0.5,50,0.18
gpt-oss-no-think,mmlu_pro,legacy_full,1410,0.7652482269503547,1590,0.0779874213836478
gpt-oss-no-think,mmlu_pro,verdict_only_instructed,100,0.72,50,0.12
gpt-oss-no-think,mmlu_pro,verdict_only_neutral,100,0.76,50,0.12
gpt-oss-no-think,mmlu_pro,verdict_plus_repair,100,0.78,50,0.12
gpt-oss-no-think,olympiad,legacy_full,2459,0.8629524196827979,1585,0.022712933753943218
gpt-oss-no-think,olympiad,verdict_only_instructed,100,0.74,50,0.04
gpt-oss-no-think,olympiad,verdict_only_neutral,100,0.79,50,0.04
gpt-oss-no-think,olympiad,verdict_plus_repair,100,0.8,50,0.02
gpt-oss-think,aime,legacy_full,151,0.5695364238410596,299,0.026755852842809364
gpt-oss-think,gpqa,legacy_full,564,0.6719858156028369,426,0.12206572769953052
gpt-oss-think,mmlu_pro,legacy_full,935,0.7967914438502673,1565,0.07539936102236422
gpt-oss-think,olympiad,legacy_full,1902,0.8659305993690851,1468,0.015667574931880108
qwen3,aime,legacy_full,111,0.34234234234234234,336,0.13392857142857142
qwen3,gpqa,legacy_full,321,0.6479750778816199,667,0.18290854572713644
qwen3,mmlu_pro,legacy_full,493,0.768762677484787,2006,0.06679960119641076
qwen3,olympiad,legacy_full,1799,0.708171206225681,1553,0.03734707018673535
qwen3-no-think,aime,legacy_full,519,0.3063583815028902,462,0.28354978354978355
qwen3-no-think,aime,verdict_only_instructed,69,0.2318840579710145,21,0.14285714285714285
qwen3-no-think,aime,verdict_only_neutral,69,0.30434782608695654,21,0.047619047619047616
qwen3-no-think,aime,verdict_plus_repair,69,0.34782608695652173,21,0.047619047619047616
qwen3-no-think,gpqa,legacy_full,857,0.5577596266044341,1317,0.2164009111617312
qwen3-no-think,gpqa,verdict_only_instructed,88,0.42045454545454547,50,0.24
qwen3-no-think,gpqa,verdict_only_neutral,88,0.5795454545454546,50,0.22
qwen3-no-think,gpqa,verdict_plus_repair,88,0.6363636363636364,50,0.2
qwen3-no-think,mmlu_pro,legacy_full,1333,0.6841710427606902,4163,0.09128032668748498
qwen3-no-think,mmlu_pro,verdict_only_instructed,99,0.6666666666666666,50,0.1
qwen3-no-think,mmlu_pro,verdict_only_neutral,99,0.7474747474747475,50,0.06
qwen3-no-think,mmlu_pro,verdict_plus_repair,99,0.7070707070707071,50,0.12
qwen3-no-think,olympiad,legacy_full,4406,0.5678620063549705,2967,0.1459386585776879
qwen3-no-think,olympiad,verdict_only_instructed,100,0.48,50,0.12
qwen3-no-think,olympiad,verdict_only_neutral,100,0.6,50,0.1
qwen3-no-think,olympiad,verdict_plus_repair,100,0.58,50,0.08
