critic_model,condition,n_wrong,FAR,delta_vs_anon_pp,CI_low_pp,CI_high_pp,n_paired
gemma-4,anonymous,725,0.5586206896551724,,,,
gemma-4,human,725,0.5641379310344827,0.5517241379310345,-0.8310344827585902,2.0689655172413794,725.0
gemma-4,other_model,725,0.5365517241379311,-2.206896551724138,-3.8620689655172415,-0.5517241379310345,725.0
gemma-4,self,725,0.543448275862069,-1.5172413793103448,-3.310344827586207,0.27586206896551724,725.0
gemma-4,strong_model,725,0.5572413793103448,-0.13793103448275862,-1.7931034482758619,1.5172413793103448,725.0
gemma-4,weak_model,725,0.526896551724138,-3.1724137931034484,-5.103448275862069,-1.2413793103448276,725.0
gpt-oss-no-think,anonymous,4961,0.7706107639588793,,,,
gpt-oss-no-think,human,4961,0.7625478734126184,-0.9836817015034838,-2.4404336266960027,0.48418591859185717,1818.0
gpt-oss-no-think,other_model,4961,0.7625478734126184,-0.33461679501283453,-1.822630179684634,1.1569490282361568,1818.0
gpt-oss-no-think,self,4961,0.7673856077403749,0.5793912724605793,-0.9149248258159149,2.028786211954529,1818.0
gpt-oss-no-think,strong_model,1700,0.7841176470588235,0.9509803921568626,-0.8627941176470586,2.776470588235294,850.0
gpt-oss-no-think,weak_model,4961,0.7611368675670228,-0.5482214888155481,-2.0802621928859537,0.957095709570957,1818.0
gpt-oss-think,anonymous,3552,0.8043355855855856,,,,
gpt-oss-think,human,3552,0.799831081081081,-0.0043802014892684905,-1.816715943933421,1.7904347349978094,1522.0
gpt-oss-think,other_model,3552,0.8085585585585585,0.4062636881296539,-1.2790462111257117,2.1014564169951813,1522.0
gpt-oss-think,self,3552,0.807713963963964,0.5573806395094174,-1.1400021901007442,2.273351949189662,1522.0
gpt-oss-think,strong_model,32,0.90625,34.84374999999999,20.78125,49.68749999999999,32.0
gpt-oss-think,weak_model,3552,0.8051801801801802,-0.006570302233902795,-1.6853098992553655,1.694042925974595,1522.0
qwen3,anonymous,2724,0.697136563876652,,,,
qwen3,human,2724,0.6806167400881057,-2.3383584589614737,-4.299832495812395,-0.3332495812395322,995.0
qwen3,other_model,2724,0.6960352422907489,-0.32663316582914576,-2.3752512562814068,1.7755862646566158,995.0
qwen3,self,2724,0.6934654919236417,0.7001675041876045,-1.2563651591289777,2.73538525963149,995.0
qwen3,weak_model,2724,0.6740088105726872,-2.599664991624791,-4.747110552763819,-0.48069514237856004,995.0
qwen3-no-think,anonymous,7115,0.5693605059732959,,,,
qwen3-no-think,human,7116,0.5698426082068578,-0.1601672743752961,-1.4032140625444502,1.077496951647189,1471.0
qwen3-no-think,other_model,7115,0.55024595924104,-1.8996118316308666,-3.0966254881533604,-0.7338333073377261,1471.0
qwen3-no-think,self,7116,0.5694210230466554,0.2593625877106502,-0.8841191241344198,1.3858561089186512,1471.0
qwen3-no-think,strong_model,1482,0.5937921727395412,3.9805321384268755,1.5409121823595513,6.446475064896115,741.0
qwen3-no-think,weak_model,7116,0.5112422709387296,-5.843567264369439,-7.11150558218879,-4.630032234552969,1471.0
